Label,text_tokens_stemmed,Label NB
negatif,aplikasi ga lamar laku pas liat gmail loker dah tutup kocak trs lamar yg kemaren kemanaklo dah tutup gausah iklaninpayah,negatif
positif,lowong kerja palsu tolong ketat izin terimakasih,positif
positif,alam kerja usaha langsung ketemu hrd alhamdulillah test interview,positif
negatif,banyak loker bodong nama pt nya ngga alamat nya ngga cantumin nya dpt email interview d kasih maps engga next perhati utk delevop nya pinter sortir yg bener yg engga biarin masuk ngerugiin orang yg bener nyari kerja,negatif
negatif,data nomor hp sebar wa aku database aplikasi jobstreet hati hati,negatif
positif,kereen,positif
positif,bantu cari lowong kerja,positif
positif,ga ya hubung usaha bodong gak apply usaha tsb kalimat cantum kalo dpt data app tolong amanin udh aktif mode comot data yg bodong2 ga apply mohon tingkat aman terimakasih,negatif
positif,done,positif
positif,pilih rentang gaji sesuai 10 langsung 15 jenjang 101213,positif
positif,manfaat banget,positif
positif,pairing token 7ae039a5,positif
positif,ga fitur2nya versi mudah lumayan lengkap,positif
negatif,fake aplikasi sial ibu kali kirim gada satu jebol alas lowong tutup muncul new lowong kalo ga niat nyariin lowong gak bacot,negatif
positif,bagus,positif
positif,baik,positif
negatif,susah urut cari baru lama acak susah liat lowong yg,negatif
negatif,gua pake aplikasi 2015 sampe detik perna nyangkut isi kolom kolom nya gua lengkap lengkap enak linkedin kaya,negatif
negatif,upload resume,negatif
positif,kecewa jobstreet upload surat lamar format pdf susah makan konversi file nya mohon tinjau terimakasih,negatif
negatif,ramah fresh graduate,negatif
negatif,aplikasi lucu orang nyari lowong kerja manfaatin tipu banget dapet panggil interview pas cek tipu,negatif
negatif,susah daftar nya,negatif
negatif,bocor dataini bukti pesan wa pt b lamar pt a bukti data bocor oknum ga tanggung jawablebih tingkat usaha valid akses data penggunapencari kerja,negatif
positif,kalo dapet email interview tempat ya beda usaha tempat situ situ aja sebrang hotel orchardz,negatif
negatif,gak,negatif
negatif,udah coba kirim lamar engga lihat satu kualifikasi niat cari karyawan iseng posting,negatif
negatif,login,negatif
negatif,dapet kerja suka kontak masuk gajelas nawarin kerja gajelas pake online hp aja gimana si kerja kaga dapet no sebar mana,negatif
negatif,ratus lowong lamar jobstreet satu panggil,negatif
negatif,aplikasi pea buang buang paket gw ngelamar 4x loker bodong kocak kadang ni apk nyari kerja gimana konsep nya dah developer beneran dikit msih loker nipu jobstret ngotak gw ken dtgin anjir,negatif
negatif,usaha scam buka lowong kerja dapat kontak person lamar kali hubung tawar pekerjaaan ujung2nya bayar jobstreet seleksi usaha fiktif hati2 lamar usaha identitas usaha sembunyi,negatif
positif,bantu,positif
positif,kerja,positif
positif,izin instal,positif
negatif,loker bodong,negatif
negatif,tolong pihakpihak jobstreet aplikasi gak apaapa nyari kerja gak usaha manggil tolong baik nama php loker indonesia,negatif
positif,mantap,positif
positif,coba untung,positif
positif,peluang luas,positif
positif,good banget,positif
positif,bagus bantu aplikasi sngt sayang hny dar formalitas perusahaan2 menginklankan jobstreet melamar2 jobstreet usaha apply lihat respon lamaran2nya batas buka lamar tutupindonesiacemas2045,positif
positif,moga kerja,positif
negatif,bad experience never get a job from this apps,positif
positif,iya salam salam sahabat dr erba saputra mt,positif
positif,awas lapang,positif
positif,staff brikes,positif
negatif,aplikasi jelek gk kaya dulusetiap buka update terusbusuk,negatif
negatif,loker yg,negatif
positif,terimakasih aplikasi jobstreet aplikasi sayah kerja,positif
positif,mantab,positif
positif,bagus,positif
negatif,developer nya banyak tidur lokasi lokasi loker tampil beda query nya baik api backend nya kocak,negatif
negatif,kemarin akun sign out sign in ga kolom email password gk muncul loading 1 hari paket data ku 250 gb,negatif
negatif,aja download uda coba daftar langsung masuk pake email msih trouble aja gbisa login ktnya suruh contact support,negatif
negatif,php doang,negatif
negatif,udh bolak daftar akun tp ttp aja ga masuk2 ga tau deh,negatif
positif,moga kerja,positif
positif,coba lang,positif
positif,coba moga guna jobtreet,positif
negatif,aplikasi ga nyebarin lamar hoax aja aneh ya orang kaya gin,negatif
positif,bantu,positif
positif,aplikasi mantap tembus pt glovis pt samudera logistik pt lf service maersk,positif
positif,dapet tawar responnya,positif
negatif,pake jobstret kaga pangilan pis tutup aja kadaluarsa,negatif
negatif,info lowong sih banyaktp usaha nya buka lowong gk respon udh ratus lamar kirim,negatif
positif,bantu jazakallohu khoir,positif
positif,sabgat bgus tolong loker yg tipu tipu iklan ononim jngan alhamdulillah dpet pnggilan tpi tes nya blom lolos pt tirta alam segar,negatif
negatif,percaya aplk banyak loker tipu,negatif
positif,tkz jobstreeet,positif
negatif,temenn temen hati hati banget lowong kerja jobstreet karna lowong tipu usaha buka lowong pasti hub usaha nya langsung gak lowong jobstreet hatihati guys,negatif
negatif,ga login,negatif
negatif,msh aplikasi dr ribet banget kaya terima aja,negatif
positif,ok,positif
positif,oke bagus aplikasi nya cepat respon,positif
negatif,300 lamar 95 terang lamar kadaluarsa,negatif
negatif,percaya app app tipu kk download app kerja nya kerja tipu hatihati kena,negatif
positif,manatab,positif
positif,aplikasi yg ok,positif
positif,mohon update open hiring nya update info yg siar telat mulai hiring usaha,positif
positif,bantu,positif
positif,jobstreet yes,positif
negatif,data bocor wa gua telusur tu usaha ga,negatif
positif,jubstree sngat bantu cari kerja,positif
negatif,dapet panggil tuh aplikasi iniudah,negatif
negatif,masak login gak bisakatanya perbaikanmaksudnya ya,negatif
positif,mudah cari info loker yg,positif
positif,bagus jobstreet lamar kerja thank you jobstreet,positif
positif,saran aja lowong akurat fresh lamar serius yakinterus tunggu hasil,positif
negatif,tolong kembali jobstreet versi,negatif
negatif,udah ngirim cv ratus ribu 1 usaha interviewmenerima kerja orang sulit ijazah s1 lawan ijazah smaijazah sma orang masuk lulus sma lulus s1 abai cv nya buang baca aneh jaman alas gantung usaha mah orang lulus doktor gabakal masuk kerja,negatif
negatif,aplikasi ga dapet panggil kerja aplikasi payah,negatif
negatif,aneh aplikasi cari kerja jobstreet glints dll hasil nihil apk real info loker yg butuh usaha rekayasa,positif
positif,great aplikasi bukti kerja aplikasi jobstreet sayang tampil aplikasi bagus notifikasi undang interview usaha skrg lihat email tau,negatif
negatif,having trouble view kawan,negatif
positif,good kerja kerja dai jobstreet terimakasih,positif
positif,ok mantap bantu,positif
negatif,kali kali ngirim lamar 2 nggak terima notif nya lamar alami maju ya gimana maju baca usaha nggak lamar kadaluarsa aplikasi iming2 kerja sekian bnyak komentar ketemu komentar orang terima kerja jobstreet terima kasih memabaca keluh kesah capek cari kerja negeri,negatif
positif,thank you jobstreet kali kerja sampe 4 kali pindah usaha aply lamar salam lina,positif
negatif,aplikasi tipu banget job tipu disinijadi yg install aplikasi extra hatihati,negatif
positif,gue herann aplikasi udah 1 kirim lamar loker 1 panggil atu gimana aneh nya poin alam panggil,negatif
positif,good,positif
positif,aplikasi oke,positif
negatif,jobstreet akurat notice update lamar apply roges step by step feedback cari jobstreet kacau isi sistem parah jobstreet ketik cari a muncul z kacau sistem jobstreet jelek banget update bikin eror manfaat,negatif
positif,jobstreet bagus cari kerja,positif
negatif,jelek aja sie suka,negatif
negatif,apply gak usaha baca kirim 50 lamar 2 baca 1 tahap interview cv lengkap kunci sesuai syarat recruiter lamar lulus s1 milik kurleb 5 alam kerja gimana cv,negatif
negatif,masukin sandi keybord yg muncul bahasa arab pdahal masukin email keybord ny bahasa indonesia,negatif
positif,bagus an jobstreet ka dpt panggil kerja dlu terang banding,positif
negatif,aplikasi asu,negatif
negatif,usaha lowong jobstreet lihat doang ga panggil main kandidat capein juang kandidat ujung tau biodata trus panggil aplikasi lowong mau hapus aplikasi lowong jobstreet biar usaha susah nyari kandidat tolong chat hrd aplikasi glints,negatif
positif,lowong tipu download gays mending nyari orang nyari kerja situs online,negatif
positif,good,positif
negatif,bat loker tipu nya,negatif
negatif,lowong gajelas boroboro panggil interview hm,negatif
positif,coba fitur tanda kerja yg lamar mudah user berulang2 lamar kerja usaha yg gl1nts,positif
negatif,loker palsu alamat lokasi ruko ruko,negatif
negatif,login pake google ribet bgt,negatif
negatif,jobstreet tolong usaha anonim daftar data ptperusahaan yg ditolakdikarenakan nya interview bayar masuk ptperusahaandengan jamin bla bla bla bayar gaji tunggu 1 minggu,negatif
negatif,aplikasi busuk,negatif
positif,5 jobstreet sarana kerja,positif
negatif,bug,negatif
positif,jossssss,positif
negatif,loker tipu ujung duit,negatif
positif,terimakasih jobstreet manfaat ubah karir hidup berkat aplikasi mudah temu usaha sesuai minat 2017 sampe awal jobstreet terimakasih,positif
negatif,kemaren bgtt dapet interview bodong first time nyoba cari loker app kek gin eh sekali apply zonk pake app langsung cantumin data kaya cv gitu banget panggil interview palsu emailwa udah buang tenaga dateng lokasi pas nyampe uang ngga kasi bangett jobseeker udah dateng ngeluarin uang iming jamin loker palsu tiati jobseeker juang,negatif
negatif,aplikasi udah ngelamar 100 pt nunggu 6 aja gak panggil aplikasi scam kah,negatif
positif,,positif
positif,pt wahana lestari investama 20132018 sekretaris kelola upt sp i huaulu sekretaris pemuda negeri besi,positif
negatif,versi sadar sekian lamar kirim surat lamar simpan usaha lamar kirim surat lamar nama pt ribet,negatif
positif,info nya lengkap,positif
positif,good,positif
negatif,syarat sulit lamar alami maju aplikasi kes main lamar cari kerja maaf uninstall aplikasi nya kecewa,negatif
negatif,tipu,negatif
negatif,app ga apply udah 3 blom pnggilan app ga memudhkn bukti ngga nihil dampah,negatif
negatif,susah bgt sign in,negatif
positif,terima kasih jobstreet bantu,positif
negatif,aplikasi loker bangkepuluhan kirim lamaran1 usaha nggak yg responhati2 gaes jng data curi,negatif
positif,visi misi usaha diri tuju 1mengembangkan usaha tiada batas kerja keras bahagian management padu 2pencapaian dukung hasil maksimal laba hasil kerja usaha tampa gantung pinjamankredit bank 3didukung sdm trampil profesional 4motto usaha haram kkn nepotisme korupsi,positif
negatif,download jobstreet seekmax seekmax ya,negatif
positif,,positif
negatif,loker hoaxxxxx,negatif
negatif,aplikasi yg buruk jgn download nyesal kali gitu yg gak masuk akal,negatif
negatif,login nyaman baharu eror login nya,negatif
negatif,rekomendasi cari kerja jobstreet tipu nya,positif
negatif,bangun tidur bukabuka jobstreet nyoba ngelamar sono eh kagak dapet,negatif
negatif,dah aplikasi login orang kenal enak nya login fb ku,negatif
positif,like,positif
positif,moga aplikasi bantu dlm kerja terimakasih,positif
positif,manfaat,positif
positif,lumayan bagus,positif
positif,good,positif
positif,baru,negatif
positif,team leader,positif
negatif,suka aplikasi nomer telepon akses tipu tuju cari kerja sulit pakai aplikasi dapat tipu cari uang cari kerja,negatif
positif,baik aplikasi kerja tempat luar daerah nikmat kerja,positif
negatif,banyak loker yg post ulang minggu nya gak yg ubah aja loker nya,negatif
positif,ok,positif
negatif,gara aplikasi wa masuk interview hoax pas cek google nama pt nya ga map nya nunjukin area nama gedung nya,negatif
negatif,aplikasi gak buka ya pending,negatif
negatif,gak filter lowong kerja dasar usia,positif
positif,,positif
positif,terimaksih jobstreet cepat informasi lowong kerja hasil yg oleh,positif
positif,bagus,positif
positif,terima kasih jobstreet alhamdulillah usaha yg lamar jobstreet jabat oh ya utk teman2 update profile refresh utk performa ahli mampu alam sesuai dgn performa masing2 jobstreet terima kasih wadah hubung usaha cari kerja moga berkah aamiin,positif
positif,thanks bantu spane time cari kerja joss moga jaya,positif
positif,bantu walauoun pesan lamar kadaluarsa,positif
positif,aplikasi bantu cari kerja dengn penglman yg sesui trimaksh jobstreet,positif
negatif,skip loker palsu,negatif
positif,lokernya tarik percaya,positif
negatif,aplikasi tipu ini lowong kerja hoax rugi cari kerja tolong baik terima perushaan bodong aplikasi ga baguss bngt aja usaha bodong tipu sukaa mintain duitt orang lamar nominal nya ckup mohon tindak lanjut usah bodong tipu,negatif
negatif,isi tipu,negatif
negatif,aplikasi cari daerah acakacakkan akurat loket tutup,negatif
negatif,g jlas g atur dcari krjaan terna yg muncul lowongantukang cukur house keeping lain2 g tratur,negatif
negatif,data bes bocor,negatif
negatif,update login via apk via website,negatif
positif,terima kasih,positif
positif,bantu,positif
negatif,jobstreet maaf banget nih ya kasih rating gin tolong min kalo ngasih konfirmasi usaha ngadi ngadi banget bodong and interview ruko usaha bandung aja aplikasi cabngnya jakarta,negatif
positif,login aplikasi jobstreet nya mohon bantu nya kak,negatif
negatif,jobstreet bagus bagus yg format,positif
positif,apk bagus,positif
negatif,kadaluarsa nya lowong kerja,negatif
negatif,upload cvnya bikin emosi gk bs2apus akun gw suu,negatif
positif,great,positif
positif,cepat akurat,positif
negatif,aplikasi error gmna pas search job lokasi kota semarang muncul,negatif
positif,,positif
positif,bgt bantu mksh ya jobstreet berkat jobstreet cepat kerja posisi yg,positif
positif,operator produksi rawat mesin produksi,positif
positif,pakai aplikasi,positif
positif,bantu gratis ya lbh depan mudah lg thank u,positif
negatif,tipu,negatif
positif,good job,positif
negatif,aplikasi payah susah login ga sprti up date,negatif
negatif,error mulu,negatif
negatif,aplikasi guna loker expired download,negatif
negatif,tolong filter usaha buka lowong udah dapet 3x lowong tipu thanks,negatif
positif,kerja apk real thank jobstreet,positif
negatif,lumayan,positif
negatif,aplikasi nge bug mulu kntl bikin kesel orang cari kerja aja,negatif
negatif,2 coba lamar kerja pakai aplikasi ratus kali apply satu hasil panggil kerja panggil interview satu,negatif
negatif,tipu,negatif
positif,mantap,positif
positif,kerja garmen 11 th lebihsemoga terima operator cuttingapa,positif
negatif,hei developer update login dalam aplikasi jobstreet loading update mohon maaf uninstal kirim problem email tanggap kecewa jobstreet aplikasi yg bagus cari kerja kacau login akun,negatif
negatif,sekian lamar yg kirim panggil masuk,negatif
positif,lowong share usaha benefit cuman panggil,positif
negatif,dah sekarangbaru dapet kerja gak apk tipu mulu hubungin ya dapet dahhhh,negatif
negatif,udah ratus kali melamartp tembus batas lihat usaha lanjut kadaluarsamasih rejekinya,negatif
negatif,yg tau call senter jobstreet ga tolong ya nomor wa ga aman banget yg nawarin kerja via wa ngatasnamain jobstreet gimana solusi nya aplikasi aman,negatif
negatif,susah cari kerja aplikasi cepet banget dapet kerja 2 gag mudah aneh status lamar usaha ubah status main main aplikasi jobstreetnya yah,negatif
positif,nya ribet aplikasi nya lamar apploat,negatif
negatif,suka ekspress sii bagus jugaa biar ga ngatur ngatur lagi tinggal lamarr,positif
positif,good,positif
negatif,loker tipu sialannn tolong seleksi rekrutmen,negatif
negatif,buka detail loker,negatif
negatif,login nya susah lamar jya susah,negatif
negatif,loker nya hoax 99 nipu kerja udh dimintain duit uang admin nyagk tangung tangung lg 1600 ruko bekas ruko gren gaden ruko pesing blm yg nya iniminta nya maksa,negatif
negatif,min tolong kelola lokernya bnyak loker tipu satin ruko contoh lokernya pt karunia megah sejahtera kasihan gara gara jobstreet suruh interview ruko byar 475000 than dp,negatif
negatif,buseettttt kacau nih app,negatif
positif,bantu cari kerja ga mutermuter cari kerja ngabisin ongkos,positif
negatif,filter daerah nya ga guna,negatif
positif,lokernya,positif
negatif,aplikasi bagus lengkap kerja dr suka tampil yg baharu cepat ngintip lamar aplikasi yg profil usaha lowong kerja yg usaha aplikasi yg baru error koneksi internet bagus semenjak masuk lamar jobstreet telpon wa masuk dr tipu ya,negatif
positif,good,positif
negatif,gk login,negatif
negatif,udh 5 bln applay cv g ad yg dipanggilnih aplikasu bnran bohong,negatif
negatif,filter search job nya tolong baik relevan cari,positif
positif,bagus aplikasi bantu cari kerja,positif
positif,good,positif
negatif,pt sampah isi nya yg isengiseng cari karyawam murah,negatif
negatif,loker bodong panggil kerja palssu,negatif
positif,bagus lowong kerja,positif
negatif,login pake email yg,negatif
negatif,aplikasi gajelasdalam baik mulu,negatif
positif,bantu thanks jobstreet,positif
negatif,lamar jobstreet lamar linkedin wkwkwk susah bgt dpt panggil kerja drisini status progressnya smpe apk rekomended cari kerja,negatif
negatif,kalo gak tutup kada luarsa,negatif
positif,kasi bintang 5 yg kreatifitas aplikasi mas donludsemoga hasil kerja aplikasi,positif
positif,leader qcchip qcleader qc inline,positif
negatif,udah 2 ngirim lamar 100 apply gak yg nyangkut satu,negatif
negatif,instal ya tulis aplikasi instal gana ya min,negatif
positif,mantap,positif
positif,cari kerja hormat aplikasi sedia lowong kerja temu lowong kerja penipuanbermasalah lapor aplikasi lamar panggil patah semangat lamar peluang kalo rezeki ya tukar sekian katakata ulas kedok tausiyah,positif
positif,aplikasi bagus error proses nang tolong cepat maintenance nya blm buka aplikasi baik,positif
negatif,ga banget appnya login ga bisa2 mulu euy mending buka pake web dah sorry gw delete app ga,negatif
positif,nice,positif
positif,alam pt dewasutratex pt ramaputratexpt warna indah samajaya pt ramatex pt djatatex ptheksatex indah pt budi agung sentosa kerja dyeing finishing,positif
positif,smga bantu,positif
negatif,aplikasi loker tipu,negatif
positif,ko gbisa instal ya pdhal udh download,negatif
positif,aplikasi bagus simple mudah cari kerja kali lulus kuliah th 2013 aplikasi linkedn,positif
negatif,suka jobstreet versi gamblang cv lihat notif lanjut pemberitahuan notif lihat urus lanjut moga ubah thanks,negatif
negatif,apa apk ga guna spam email doang,negatif
negatif,loker sampah isi jelasyg tipu gila gak tu,negatif
positif,good panggil wawancara,positif
negatif,banyak iklan update 5 parah,negatif
positif,manfaat jobseeker,positif
positif,udh ngirim 15 usaha ko blm yg nyantol 1 piye iki,positif
positif,moga dukung raih sukses amin yarobbi,positif
negatif,saran aja nih admin jobstreet usaha daftar departemen tenaga kerja depnaker mohon keluar aplikasi cenderung hubung lamar wa telpon langsung datang usaha ruko nama pt nya tempel pintu kaca nya,negatif
positif,goodds,positif
positif,loker palsu cantum an anonim rugi cari kerja mohon baik evaluasi yg dtampilkan ciri ciri rekrut yg milik ktp miniaml ijazah sma usia max 45 seringkali dihub via whatsapp lamar cv yg cantum terimakasih,positif
negatif,apk sampah banyak loker nipu,negatif
positif,oke,positif
negatif,download apk sihbanyak banget loker penipuannyacari aja kek apk sebelahhati hati loker penipuannyasad banget korbannyagak jelek apk alamin sendirisemoga gk korban,negatif
negatif,sdh filter lamar kerja ilang filter,negatif
negatif,2009 nyari kerja jobstret ga dapet sbnrnya boongan beneran sih,negatif
negatif,muas jarang sulit panggil interview aplikasi sayang kecewa lamar batas panggil pt usaha nya yg kena tipu tolong alamat email ubah edit email ubah alamat emai ubah,negatif
positif,keren,positif
positif,aplikasi bagus memcari kerja,positif
positif,aplikasi terpercayamudah paham bantu,positif
positif,ok,positif
positif,bagus,positif
positif,kurang ga filter progress lamar kerja cari lamar progress saran buat filter progress dilanjutkanlanjut nya,positif
positif,bantu,positif
positif,bagus apl yg cuy,positif
positif,developer hormat update uninstal aplikasi instal login akun jobstreet jaring internet stabil loading login tolong bantu login,negatif
positif,perfect,positif
negatif,stuck registrasi ya masukin email pw ngestuck situ ga masuk apknya,negatif
positif,mantap,positif
negatif,yg kasih rating bagus bintang 5 hoak dgn nyata nya sy senang panggil tesinterview sesuai alamat pt alamat kantor ruko orang susah payah nekat sakin senang panggil ujung uud,negatif
positif,info lowong kerja feedback tahap interview terima kerja,positif
negatif,hati hati guna aplikasi jgn unduh hoak alamat tuju sesuai oknum yg orang niat kerja uang duluan mending bener mah jgn unduh apk,negatif
positif,aplikaisnya bagus mudah penggunaanya banget lamar panggil moga segra dapet panggil kerja,positif
positif,baharu apk terang apa usaha yg dilamarseharuanya tingkat contoh lamar proses tidaksehingga si lamar harap,negatif
positif,rekom banget,positif
negatif,keamanankurang nomer pribadi sebar mana,negatif
positif,titip doa admin kerja yg gaji rataamin,positif
positif,nice,positif
positif,aplikasi manfaat bantu mudah cari kerja,positif
positif,suka jobstreet versi mana masukin lamar usaha si rekruter tarik dgn profil tera terang profil x1 x2 dst tanda hubung si rekruter si rektuter cocok dgn profil yg versi cuman terang aja ga terang lihat xxx kurang versi sekrang versi fitur dimasukin,negatif
positif,lumayan,positif
positif,bantu cari kerja,positif
positif,nya kerja,positif
negatif,aplikasi bagus aplikasi job glient lamar kerja rekomended banget kali kirim lamar kerja respon kirim puluh lamar kerja respon,positif
negatif,banyak loker ga,negatif
positif,app bagus tinggal baik cari dikotakab saran kl loker yg closedtutup tolong konfirmasi usaha ditake out,positif
positif,bantu info percaya,positif
positif,informasi loker nya valid ga si min serius nanya,negatif
positif,aplikasi cari kerja bagus dpt kerja dr aplikasi,positif
positif,mudah cari lamar kerja,positif
negatif,alam ternak ayam telor,positif
positif,thank you,positif
positif,butuh sabar klo masuk,positif
positif,bagusss apk nyasaya kerja apk,positif
positif,bantu cari loker jobstteet,positif
negatif,lamar kerja nya ribet,negatif
positif,gabung mudah daftar mudah kerja mudah,positif
positif,aplikasi hp jadwal interview wawancara kalo skrg mah udah gabisa tolong adakan fitur,negatif
positif,menu profile tambah taut sosial media otomatisasi logo github linkedin stack overflow tarik kolom informasi pendek isi informasi,positif
negatif,udah panggil kerja aplikasi,negatif
positif,ok,positif
negatif,tau data bocor jadi modus mula hati sih kasih modus kripto,negatif
positif,bagus bantu cari kerja 5 lamar hasil lamar tutup,positif
positif,jobstreet profesional cari lowong kerja,positif
positif,mantap,positif
negatif,lamar kerja tdk tolak aplikasi jobstreet,negatif
negatif,tipu,negatif
positif,moga aja dapet kerja apk,positif
positif,,positif
negatif,gimana ceritanyaa sih gw download gada lowong bener aje,negatif
positif,bantu kerja,positif
negatif,bagus,positif
positif,apk bantu mudah temu kerja rekomendasi,positif
positif,tau dpt kerja yg sesuai,positif
negatif,klo apply otomatis link gak,negatif
negatif,ribet,negatif
positif,moga kredible lowong benar2 lowonga hoax tipu,negatif
positif,hrd ga supervisor,positif
negatif,bagus update kurang update 1 ui aplikasi pc laptop hp jelek range salary lg lampir surat lamar cv 2 proses lamar usaha lolos tarik 3 cari lowong kerja range gaji sesuai gaji yg harap aplikasi transparan privasi gitu,negatif
positif,suka,positif
positif,bagus sdh 69thnapa,positif
positif,good jobs,positif
positif,good,positif
positif,mantap,positif
negatif,info loker ga dapet panggil interview ga lamar usaha pas cek nama usaha maps google ga nemu,negatif
positif,bantu kerja,positif
negatif,applikasi mutu aplikasi bapuk,negatif
negatif,apply kyenya alam kerja usaha,positif
positif,aplikasi bantu,positif
negatif,aplikasi job seeker telat update loker dapet notifikasi email loker cek lokernya 10hari 3 14 berharihari cek info loker gimana kerja aplikasi guna notifikasi update loker nya,negatif
negatif,gk kerja update mulu lot aplikasi nya,negatif
positif,ok,positif
positif,mantaf kerens utk info loker berqualitas,positif
negatif,kecewa apk jobstreet percaya contoh apply part time bioskop cgv poins wa tiktok affiliate kerja online ngelike in postingan orang sesuai balas job apply contoh pokok apply wa mirip2 guna balas,negatif
positif,guna 2015 info loker banyakaplikasi bantu sekalitapi info loker nama usaha rahasia indikasi negatif,positif
negatif,banget spam link aplikasi klik lamar aplikasi cari kerja aplikasi iklan aplikasi banyak lowong apk hoax gak ubah,negatif
positif,bantu,positif
negatif,notifikasi anjirr,negatif
positif,coba langsung kasih bintang 5,positif
positif,terimakasih jobstreetdisini temu kerja yg baik,positif
negatif,jg prnah pakai apk lgi prnah mngalami kjadian pnipuan prtama kali sy ngrantau bnyk pabrikpt stelah pnggil interview daerah jaktim sy pakai grab abang grabny google gk pt yg mngadakn interview pikir sy udh ga enak brhentilah pom bensin tnya bnr ga pt stelah jalan aj tuh ssuai titik lokasi habis turun dri grab ad sorg laki yg nyuruh masuk lakukn interview ky mksa banget interview ditnya eh duitfiks pnipuan,negatif
negatif,lowong kerja tipu2 semuaala negara konoha,positif
positif,good,positif
negatif,tutup aplikasi lamar gak 1 terpangil trus ngebung pemberitahuan nya 1 email masuk muncul usaha gak bales jobstreet nya ngebung,negatif
positif,salah portal informasi cari kerja info nya up date mudah utk lamar sesuai fungsi kerja nya info feedback nya,positif
negatif,100 lamar prosentase baca 5 persen lebih update tolak apa loker expired fitur sembunyi hapus loker loker baca sesuai ga muncul cari,negatif
positif,mudah informasi lowong kerja terima kasih,positif
negatif,loker tipu,negatif
negatif,alah lokernya basi smuaa kadaluarsa smua tutup smuaa,negatif
positif,berkat aplikasi kerja mana suka usaha iming iming kerja usaha masuk aplikasi mohon sortir usaha terima kasih admin,positif
negatif,blm prnh dpt kerja usaha liat cv aja yg ga liat,negatif
positif,jobstreet profesional baik program,positif
negatif,ya tipu loker lolos masuk apk,negatif
negatif,10 jobstreet satu panggil php tingkat,negatif
positif,bagus,positif
negatif,bagus baharu eh bagus ancur lokernya gk ter update loker muncul,negatif
positif,good,positif
positif,bantu orang yg informasih lowong kerja lengkap job street daerah lokernya trmksh,positif
negatif,ngirim lamar udah puluh ga yg nyangkutbeda aplikasi kitalulusngirim lamar langsung respon hrdudh kali panggil interviewudh jelek skarnag jobstreetga kaya dulumungkin udah males2an ngurus situs,negatif
negatif,aplikasi lawakkebanyakan loker tipu,negatif
negatif,dear jobstreet depan filter skrg lowker nya loker hoax tipu sih kasi yg fresh graduate kalo ga tau bahaya,negatif
negatif,kemaren panggil interview jalan gunung hari patok pon bensin sheell nama pt multi logistik pas suruh isi absen no hp tulis kandang suruh tunggu sebentar gak panggil lantai 2 kantor udah 4 orang yg duduk langsung masuk diinterview gak sangka suruh bayar 750 ribu maaf blm kerja udah suruh bayar yg nama tipu,negatif
negatif,ngaco aja nih aplikasi lolos tipu modus lowong kerja,negatif
negatif,login seek,negatif
negatif,kecewa dg aplikasi satu undang interview nyangkut undang interview lacak ruko ruko alias loker bodong banding aplikasi atma joobstreet,negatif
negatif,aplikasi ampas mlh gprnh panggil bagus versi lawas slalu panggil yg slh aplikasi lokernya,negatif
positif,ok,positif
positif,very good,positif
negatif,lowong iklan gak gimana sih ber iklan gak hilang muncul iklan butuh kandidat konsisten,negatif
positif,1 1996 2002 lapang golf johor bahru malaysia supervisor irrigasi 2 2003 2004 lapang golf arraya malang 3 2004 2008 bal beach golf course supervisor 4 2008 2023 kaleang golf sumbawa tanggung giat lapang golf operasional course maintenance,positif
positif,trimakasih,positif
positif,nanya meferivikasi bayar 50000 hubung melaui imael wa balas terimakasi,positif
positif,mantap bantu bwngt butuh kerja,positif
positif,project coordinator pulp paper project,positif
negatif,gak login alih chrome udah user passwordnya gak support android versi 10 mohon update jalan android versi 10,negatif
positif,lumayan,positif
negatif,aplikasi filter lokasi kerja contoh cari kerja cibinong muncul lokasi aneh,negatif
positif,aplikasi bagus,positif
positif,good,positif
positif,bantu cari kerja sesuai,positif
positif,bagus,positif
positif,bantu cari kerja sesuai dgn alam,positif
positif,mantul,positif
positif,udh pas isi email huruf yg lewat gabisa ubah sampe tolong solusi,negatif
positif,aplikasi cari kerja andal thanks jobstreet,positif
negatif,tipu ati,negatif
negatif,aplikasi kerja lamar 100 lamar bagai perusaaan tp hasil nol,negatif
positif,mantap,positif
positif,update baru kolom cari error,negatif
negatif,aplikasi tipu lowong kerja akurat,negatif
positif,bantu cari kerja,positif
positif,top kali dpt kerja,positif
positif,bagus baget aplikasi nya rekomendasi bgt bnyk info loker kerja tp aneh nya 2 thn kirim lamar jobstreet panggil kerja terima kerja mohon maaf yg salah yg iklanin loker kerjaapa aplikasi pemberitahuan lihat aja atauberakhir gk tutup moga aplikasi nya amin,negatif
positif,baik,positif
negatif,data jual belikan jobstreet banget spam telepon wa email scam spam hati2 jobstret penjualdata pribadi bocor apliaksi,negatif
negatif,najis aplikasi gk gunaa,negatif
negatif,data bocor ya nomor nomor kenal hubung data base jobstreet terima kasih,negatif
positif,andal cari kerja moga dapet kerja sesui ahli,positif
negatif,hilang fitur iklan anonim karna resiko tipu lowong kerja karna tau usaha moga baca ya ulas ku,negatif
positif,good,positif
positif,good job,positif
positif,scammer lowong kerja djancok,positif
negatif,banyak bacelor digriiiii s123 lulus smk derajat berat lowong lamar email lowong udah tutup kadaluarsa beneran tawar lowong kerja kejar trafik web,negatif
negatif,emang data daftar bocor ya min tipu hubung transfer uang,negatif
